index,raw,uic,lat,lon,entries
199,Bassens,87581850,44.9012933,-0.5223144,bassens
200,Batz-sur-Mer,87481770,47.2809541,-2.4789866,batz sur mer
201,Baule,87574152,47.8117535,1.668127,baule
202,Baume-les-Dames,87718460,47.353937,6.359603,baume les dames
203,Bauvin - Provin,87345280,50.51168,2.9054,bauvin provin
204,Bayeux,87444067,49.269836,-0.698056,bayeux
205,Bayon,87141218,48.468046,6.322569,bayon
206,Bayonne,87673004,43.496801,-1.470306,bayonne
207,Bazancourt,87171462,49.361202,4.173887,bazancourt
208,Baziège,87611723,43.4535696,1.6205019,baziege
209,Béard,87696468,46.8652207,3.3179944,beard
210,Beau Marais,87317610,50.945371,1.8983301,beau marais
211,Beaucaire,87775023,43.80209,4.6470865,beaucaire
212,Beaugency,87574160,47.778365,1.625938,beaugency
213,Beaulieu-sur-Mer,87756379,43.706651,7.331545,beaulieu sur mer
214,Beaumont-le-Roger,87387183,49.0741722,0.7727865,beaumont le roger
215,Beaune,87713545,47.023053,4.848379,beaune
216,Beaurainville,87317198,50.422891,1.895345,beaurainville
217,Beautiran,87582700,44.701041,-0.45017,beautiran
218,Beauvais,87313510,49.42648,2.08869,beauvais
219,Beauvoir-sur-Niort,87485342,46.1768857,-0.4687544,beauvoir sur niort
220,Beauvoisin,87775809,43.7245026,4.3212178,beauvoisin
222,Bédarieux,87781609,43.6086972,3.1495688,bedarieux
223,Bédarrides,87765198,44.0407636,4.8931321,bedarrides
224,Bedous,87672774,42.99589,-0.60348,bedous
225,Bègles,87581801,44.7995389,-0.5552495,begles
226,Beillant,87491076,45.7007999,-0.5265079,beillant
227,Belfort,87184002,47.633284,6.853956,belfort
228,Belfort - Montbéliard TGV,87300822,47.585937,6.897687,belfort montbeliard tgv
229,Bellac,87592485,46.1252044,1.0461168,bellac
230,Belle-Isle - Bégard,87473165,48.5935901,-3.3228532,belle isle begard
231,Bellegarde-sur-Valserine,87745000,46.109425,5.823483,bellegarde sur valserine
232,Bellenaves,87641068,46.199256,3.0665239,bellenaves
233,Bellevigny,87486142,46.788316,-1.4346673,bellevigny
234,Belleville,87141804,48.8195721,6.1018641,belleville
235,Belleville sur Sâone,87721357,46.111917,4.729028,belleville sur saone
237,Bellignat,87743526,46.2381265,5.6298849,bellignat
239,Belvès,87595876,44.7773978,1.0118831,belves
240,Belvezet,87783670,44.5617971,3.7518919,belvezet
241,Belz - Ploemel,87476408,47.652466,-3.0721919,belz ploemel
242,Bénesse-Maremne,87673285,43.6277484,-1.3698505,benesse maremne
243,Bénestroff,87192302,48.90656,6.75266,benestroff
244,Benfeld,87214122,48.3735367,7.584125,benfeld
245,Bengy-sur-Craon,87576447,47.0004698,2.7492361,bengy sur craon
246,Béning-lès-Saint-Avold,87193250,49.1379541,6.8282982,bening les saint avold
247,Bergerac,87584268,44.857061,0.489174,bergerac
248,Bergues,87281105,50.96901,2.42574,bergues
249,Berlaimont,87295808,50.1980095,3.8105316,berlaimont
250,Bernay,87444299,49.087102,0.595634,bernay
251,Bersac-sur-Rivalier,87592352,46.0837459,1.4321682,bersac sur rivalier
252,Berthelming,87215335,48.8096475,7.0087859,berthelming
253,Bertrichamps,87141424,48.4283359,6.7912343,bertrichamps
254,Bertry,87345553,50.0911265,3.4489955,bertry
255,Besançon Franche-Comté TGV,87300863,47.307361058531725,5.953195095062256,besancon franche comte tgv
256,Besançon Mouillère,87718015,47.240372,6.03391,besancon mouillere
257,Besançon Viotte,87718007,47.247019,6.022003,besancon viotte
258,Beslé,87471219,47.6988788,-1.8706374,besle
260,Bessay-sur-Allier,87696336,46.4435849,3.3606477,bessay sur allier
261,Bétaille,87594747,44.9424281,1.7344108,betaille
262,Béthune,87342006,50.52144,2.64055,bethune
263,Betton,87471045,48.1814803,-1.6344745,betton
264,Beuvrages,87343160,50.3894892,3.5061396,beuvrages
265,Beuvry lès Béthune,87342402,50.5356021,2.6924093,beuvry les bethune
267,Beynost,87723544,45.833915,5.006969,beynost
268,Béziers,87781005,43.33633,3.218873,beziers
269,Biache-Saint-Vaast,87342097,50.3162525,2.9414975,biache saint vaast
270,Biarritz,87673400,43.459397,-1.545915,biarritz
272,Bidarray Pont Noblia,87673699,43.2682991,-1.3453233,bidarray pont noblia
273,Bidos,87691949,43.17892,-0.6069,bidos
275,Biganos Facture,87582478,44.637384,-0.96621,biganos facture
276,Bigny,87576306,46.8015763,2.368638,bigny
277,Billy-Montigny,87345140,50.41556,2.91206,billy montigny
278,Biot,87757690,43.610951,7.12609,biot
279,Bischheim,87212308,48.6118352,7.7422165,bischheim
280,Bischoffsheim,87214296,48.48701,7.49772,bischoffsheim
281,Bischwiller,87213611,48.765753,7.8516536,bischwiller
282,Bitschwiller-lès-Thann,87182576,47.8273719,7.078514,bitschwiller les thann
283,Blainville - Damelevières,87141135,48.564971,6.386953,blainville damelevieres
284,Blaisy-Bas,87713073,47.3734427,4.7410755,blaisy bas
285,Blangy-sur-Bresle,87313809,49.9326071,1.6259074,blangy sur bresle
286,Blangy-sur-Ternoise,87317248,50.424669,2.1721585,blangy sur ternoise
287,Blanquefort,87581728,44.917556,-0.62392,blanquefort
288,Blanzy,87694612,46.694064,4.3913585,blanzy
289,Bléré - La Croix,87574475,47.3377228,0.9877583,blere la croix
290,Blois - Chambord,87574004,47.585445,1.323823,blois chambord
291,Blonville-sur-Mer - Benerville,87444380,49.3313919,0.0356856,blonville sur mer benerville
292,Boën-sur-Lignon,87726471,45.7413612,4.0051544,boen sur lignon
293,Bogny-sur-Meuse,87172049,49.8583117,4.7632317,bogny sur meuse
294,Bohain-en-Vermandois,87296269,49.9884143,3.4431289,bohain en vermandois
297,Bois-d'Oingt - Légny,87721787,45.9065839,4.575043,bois d oingt legny
299,Boisleux-au-Mont,87342071,50.2104665,2.771855,boisleux au mont
300,Boisseaux,87543082,48.2566238,1.9727681,boisseaux
301,Boisset,87645184,44.786038,2.2497669,boisset
304,Bollène La Croisière,87764357,44.271525,4.707908,bollene la croisiere
305,Bollwiller,87182709,47.8569694,7.2672555,bollwiller
306,Bologne,87142224,48.1986877,5.1342228,bologne
308,Bonnemain,87478065,48.4764049,-1.7654125,bonnemain
309,Bonneval,87545731,48.1862958,1.3861845,bonneval
310,Bonneville,87746339,46.077772,6.416524,bonneville
311,Bonnières-sur-Seine,87415893,49.038788,1.582205,bonnieres sur seine
312,Bons-en-Chablais,87745596,46.270046,6.366246,bons en chablais
313,Bonson,87726414,45.5221941,4.2163084,bonson
315,Bordeaux Saint-Jean,87581009,44.825873,-0.556697,bordeaux saint jean
316,Bords,87491019,45.8944625,-0.7985436,bords
317,Bornel - Belle-Église,87276717,49.19471,2.20717,bornel belle eglise
318,Bouaye,87481200,47.1380806,-1.6810992,bouaye
319,Boucau,87673095,43.5234217,-1.4905872,boucau
320,Bouchain,87345389,50.2780892,3.3319096,bouchain
321,Boucoiran-et-Nozières,87775346,43.9926943,4.187634,boucoiran et nozieres
325,Boulazac,87725473,45.172291,0.772645,boulazac
326,Boulogne Tintelleries,87317016,50.72729,1.60904,boulogne tintelleries
327,Boulogne-sur-Mer,87317586,50.7157,1.60964,boulogne sur mer
328,Boulouris sur Mer,87757534,43.4163471,6.8082519,boulouris sur mer
330,Bourbourg,87281279,50.952267,2.1942305,bourbourg
331,Bourg-Bruche,87214775,48.3598566,7.1371919,bourg bruche
