station,commune
bellevue funiculaire,sevres
belley,belley
bellignat,bellignat
bellou en houlme,bellou en houlme
belloy st martin,belloy en france
belval,belval
belvezet,mont lozere et goulet
belves,pays de belves
belz ploemel,ploemel
benet,benet
benfeld,benfeld
bengy,bengy sur craon
bennwihr,bennwihr
bercheres les pierres,bercheres les pierres
bergerac,bergerac
bergues,bergues
berjou,berjou
berlaimont,berlaimont
bernac debat,bernac debat
bernay,bernay
bernes,bernes sur oise
bernieres le patry,valdalliere
berre,berre l etang
bersac,bersac sur rivalier
bertangles poulainville,bertangles
berthelming,berthelming
bertholene,bertholene
bertrichamps,bertrichamps
bertry,bertry
berzy le sec,berzy le sec
besancon franche comte tgv,les auxons
besancon mouillere,besancon
besancon st fergeux,besancon
besancon viotte,besancon
besle,guemene penfao
besny,besny et loizy
besne pontchateau,besne
bessan,bessan
bessancourt,bessancourt
bessay,bessay sur allier
besse,besse sur issole
bessenay,bessenay
bessines,bessines sur gartempe
bessieres,bessieres
besseges,besseges
besse sur braye,besse sur braye
betton,betton
betz,betz
beutin,beutin
beuvrages,beuvrages
beuvry pas de calais,beuvry
beuxes,beuxes
beuzeville eure,beuzeville
beynac haute vienne,bosmie l aiguille
beynes,beynes
beynost,beynost
biache st vaast,biache saint vaast
biarritz,biarritz
bibliotheque francois mitterrand,paris
bidarray,bidarray
bidarray pont noblia,bidarray
bidart,bidart
bidos,bidos
biffontaine,biffontaine
bigny,vallenay
biguglia,biguglia
billy marcenat,billy
billy montigny,billy montigny
biot,antibes
bischheim,schiltigheim
bischoffsheim,bischoffsheim
bischtroff sur sarre,sarrewerden
bischwiller,bischwiller
bitche,bitche
bitche camp,bitche
bitschwiller haut rhin,bitschwiller les thann
bize aude,bize minervois
bievres,bievres
blagny,blagny
blainville damelevieres,damelevieres
blaise sous arzillieres,blaise sous arzillieres
blaisy bas,blaisy bas
blanc misseron,crespin
blangy glisy,blangy tronville
blangy sur bresle,blangy sur bresle
blangy sur ternoise,blangy sur ternoise
blanquefort,blanquefort
blanzy,blanzy
blanzy poste,blanzy
blendecques,blendecques
blesle,blesle
blesme haussignemont,haussignemont
bletterans,bletterans
blies ebersing,blies ebersing
bliesbruck,bliesbruck
blodelsheim,blodelsheim
blois chambord,blois
blond berneuil,blond
blonville sur mer benerville,blonville sur mer
blotzheim,blotzheim
blou st philbert,blou
bloye,bloye
blecourt,sancourt
blenod les toul,blenod les toul
blere la croix,la croix en touraine
bobigny,bobigny
bocognano,bocognano
boeil bezing,boeil bezing
bogny sur meuse,bogny sur meuse
bohain,bohain en vermandois
boigneville,boigneville
bois colombes,bois colombes
bois d oingt legny,legny
bois de cene,bois de cene
bois le roi,bois le roi
boiscommun,boiscommun
boisleux,boisleux au mont
boisseaux,boisseaux
boisset,boisset
boisset eure,boisset les prevanches
boisset le cerizet,boisset les montrond
boissise le roi,boissise le roi
boissy levignen,levignen
boissy maison maugis,cour maugis sur huisne
boissy st leger,boissy saint leger
boissy l aillerie,boissy l aillerie
boissy la riviere,saint cyr la riviere
bolbec nointot,bolbec
bolbec ville,bolbec
bollwiller,bollwiller
bollene la croisiere,bollene
bologne,bologne
bolquere eyne,bolquere
bon encontre,boe
bondy,bondy
bonnard bassou,bonnard
bonnemain,bonnemain
bonneval,bonneval
bonneville,bonneville
bonnieres,bonnieres sur seine
bonny,bonny sur loire
bons en chablais,bons en chablais
bonson,bonson
boo silhen,boo silhen
boran sur oise,boran sur oise
bordeaux bastide,bordeaux
bordeaux benauge,floirac
bordeaux passerelle,bordeaux
bordeaux st jean,bordeaux
bordes l hez,bordes
bords,bords
borgo,borgo
borne,borne
bornel belle eglise,bornel
borredon,montalzat
bort les orgues,bort les orgues
bosc le hard,bosc le hard
bosmoreau les mines,bosmoreau les mines
bossay,bossay sur claise
bossey veyrier,etrembieres
bouaye,bouaye
bouc cabries,bouc bel air
bouchain,neuville sur escaut
boucoiran,boucoiran et nozieres
bouconvillers,bouconvillers
bouffemont moisselles,bouffemont
bougival,la celle saint cloud
bouglon,bouglon
bouillancourt,bouillancourt la bataille
bouilly roncenay,roncenay
boujailles,boujailles
boulainvilliers,paris
boulange,boulange
boulazac,boulazac isle manoire
bouleternere,bouleternere
boulevard massena,paris
boulevard victor hugo,saint ouen sur seine
bouligny,bouligny
boulogne maree,boulogne sur mer
boulogne tintelleries,boulogne sur mer
boulogne ville,boulogne sur mer
boulouris sur mer,saint raphael
boulzicourt,boulzicourt
bouray,lardy
bourbon lancy le fourneau,bourbon lancy
bourbourg,bourbourg
bourg bruche,bourg bruche
bourg lastic messeix,messeix
bourg madame,bourg madame
bourg st andeol,bourg saint andeol
bourg st maurice,bourg saint maurice
bourg en bresse,bourg en bresse
bourg le roi,cherisay
bourg sur charente,bourg charente
bourganeuf,bourganeuf
bourgeade,briffons
bourges,bourges
bourgneuf en retz,villeneuve en retz
bourgoin jallieu,bourgoin jallieu
bourgtheroulde thuit hebert,grand bourgtheroulde
bourmont,bourmont entre meuse et mouzon
bournezeau,bournezeau
bourron marlotte grez,bourron marlotte
bourre,montrichard val de cher
bours,bours
boursay st agil,boursay
bourth,bourth
boussac,boussac
boussay la bruffiere,boussay
boussens,boussens
boussy st antoine,boussy saint antoine
boutheon,andrezieux boutheon
boutigny,boutigny sur essonne
bouvines,cysoing
bouvron,blain
bouy,bouy
bouzanville boulaincourt,boulaincourt
bouzonville,bouzonville
bouere,bouere
boue,boue
boves,boves
boynes,boynes
boen,boen sur lignon
braches,braches
braine,braine
bram,bram
branderion,branderion
brassac les mines ste florine,brassac les mines
brax leguevin,brax
bray dunes,bray dunes
bray ecos,bray et lu
brazey en morvan,brazey en morvan
brazey en plaine,brazey en plaine
brebieres sud,brebieres
breil sur roya,breil sur roya
breitenbach,breitenbach haut rhin
brens virignin,brens
bresles,bresles
bressuire,bressuire
brest,brest
breteil,saint gilles
bretenoux biars,biars sur cere
breteuil,breteuil
breteuil embranchement,bacouel
breteuil ville,breteuil
bretigny norges,bretigny
bretoncelles,bretoncelles
