source_uic,target_uic,weight_minutes,source_name,target_name
87141291,87141044,23.0,Neufchâteau,Toul
87141291,87142224,26.608,Neufchâteau,Bologne
87141291,87142406,22.084,Neufchâteau,Merrey
87141291,87175828,25.166,Neufchâteau,Pagny-sur-Meuse
87141374,87141382,1.217,St-Clément-Laronxe,Chenevières
87141382,87141374,1.217,Chenevières,St-Clément-Laronxe
87141382,87141390,1.387,Chenevières,Ménil-Flin
87141390,87141382,1.387,Ménil-Flin,Chenevières
87141390,87141408,1.703,Ménil-Flin,Azerailles
87141408,87141390,1.703,Azerailles,Ménil-Flin
87141408,87141416,3.138,Azerailles,Baccarat
87141416,87141408,3.138,Baccarat,Azerailles
87141416,87141424,2.494,Baccarat,Bertrichamps
87141424,87141416,2.494,Bertrichamps,Baccarat
87141424,87141432,1.307,Bertrichamps,Thiaville
87141432,87141424,1.307,Thiaville,Bertrichamps
87141432,87144626,1.248,Thiaville,Raon-l'Étape
87141473,87141010,2.149,Houdemont,Jarville-la-Malgrange
87141473,87141481,1.642,Houdemont,Ludres
87141481,87141473,1.642,Ludres,Houdemont
87141481,87141499,1.519,Ludres,Messein
87141499,87141481,1.519,Messein,Ludres
87141499,87141507,1.217,Messein,Neuves-Maisons
87141507,87141127,10.712,Neuves-Maisons,Rosières-aux-Salines
87141507,87141499,1.217,Neuves-Maisons,Messein
87141507,87141523,1.0,Neuves-Maisons,Pont-St-Vincent
87141523,87141507,1.0,Pont-St-Vincent,Neuves-Maisons
87141523,87141531,1.032,Pont-St-Vincent,Bainville-sur-Madon
87141531,87141523,1.032,Bainville-sur-Madon,Pont-St-Vincent
87141531,87141549,1.099,Bainville-sur-Madon,Xeuilley
87141549,87141531,1.099,Xeuilley,Bainville-sur-Madon
87141549,87141556,1.612,Xeuilley,Pierreville
87141556,87141549,1.612,Pierreville,Xeuilley
87141556,87141564,1.0,Pierreville,Pulligny-Autrey
87141564,87141556,1.0,Pulligny-Autrey,Pierreville
87141564,87141572,1.287,Pulligny-Autrey,Ceintrey
87141572,87141564,1.287,Ceintrey,Pulligny-Autrey
87141572,87141598,2.887,Ceintrey,Tantonville
87141598,87141572,2.887,Tantonville,Ceintrey
87141598,87141606,1.292,Tantonville,Vézelise
87141606,87141598,1.292,Vézelise,Tantonville
87141606,87141622,3.29,Vézelise,Praye-sous-Vaudémont
87141622,87141606,3.29,Praye-sous-Vaudémont,Vézelise
87141622,87141648,2.512,Praye-sous-Vaudémont,Diarville
87141648,87141622,2.512,Diarville,Praye-sous-Vaudémont
87141648,87144204,6.161,Diarville,Poussay
87141788,87141077,1.295,Pompey,Frouard
87141788,87141796,2.169,Pompey,Marbache
87141796,87141788,2.169,Marbache,Pompey
87141796,87141804,1.538,Marbache,Belleville
87141804,87141796,1.538,Belleville,Marbache
87141804,87141812,2.088,Belleville,Dieulouard
87141812,87141804,2.088,Dieulouard,Belleville
87141812,87141820,3.647,Dieulouard,Pont-à-Mousson
87141820,87141812,3.647,Pont-à-Mousson,Dieulouard
87141820,87192476,3.29,Pont-à-Mousson,Vandières
87142000,87118299,19.0,Chaumont,Bar-sur-Aube
87142000,87142091,18.0,Chaumont,Langres
87142091,87142000,18.0,Langres,Chaumont
87142091,87142125,5.962,Langres,Culmont-Chalindrey
87142109,87147322,17.0,Lorraine-Louvigny-TGV,Meuse-TGV
87142125,87142091,5.962,Culmont-Chalindrey,Langres
87142125,87185009,36.0,Culmont-Chalindrey,Vesoul
87142224,87141291,26.608,Bologne,Neufchâteau
87142224,87143024,2.43,Bologne,Vraincourt-Viéville
87142232,87142240,1.946,Vignory,Froncles
87142232,87143024,2.12,Vignory,Vraincourt-Viéville
87142240,87142232,1.946,Froncles,Vignory
87142240,87142273,4.566,Froncles,Donjeux
87142273,87142240,4.566,Donjeux,Froncles
87142273,87175091,4.975,Donjeux,Joinville
87142406,87141291,22.084,Merrey,Neufchâteau
87142497,87144311,2.79,Damblain,Rozières-sur-Mouzon
87143024,87142224,2.43,Vraincourt-Viéville,Bologne
87143024,87142232,2.12,Vraincourt-Viéville,Vignory
87144006,87144097,4.19,Épinal,Thaon
87144006,87144121,10.114,Épinal,Xertigny
87144014,87144683,3.785,St-Dié-des-Vosges,St-Michel-sur-Meurthe
87144030,87144048,3.243,Docelles-Cheniménil,Lépanges
87144048,87144030,3.243,Lépanges,Docelles-Cheniménil
87144048,87144154,3.017,Lépanges,Bruyères
87144055,87141218,5.647,Charmes,Bayon
87144055,87144063,2.627,Charmes,Vincey
87144063,87144055,2.627,Vincey,Charmes
87144063,87144071,3.104,Vincey,Châtel-Nomexy
